Data,Total,Producao Interna,Producao Mao de Obra,Corte,Corte Voil,Bainha Continua,Barrado,Emenda,Overloque,Paleteira,Acabamento,Furo,Ilhos,Dobra,Embalagem,Mes,Ano
2024-05-24,8016.13,7826.56,189.57,322.17,952.23,115.64,1023.64,0.0,0.0,543.19,735.66,802.12,1031.11,1882.26,418.54,Maio,2024
2024-05-25,350.86,350.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.07,63.79,Maio,2024
2024-05-27,6354.57,6131.59,222.98,181.28,667.27,353.89,757.11,29.43,0.0,780.19,697.5,743.06,889.16,844.85,187.85,Maio,2024
2024-05-28,7873.46,7578.33,295.13,366.0,853.26,183.42,1423.82,0.0,0.0,772.99,754.63,713.9,1254.45,1027.52,228.34,Maio,2024
2024-05-29,6575.7,6363.25,212.45,247.17,618.6,209.06,1158.29,5.89,0.0,508.81,553.3,496.68,1000.16,1280.69,284.6,Maio,2024
2024-05-31,7152.38,6587.42,564.96,267.3,838.04,314.17,709.26,0.0,0.82,594.56,661.47,696.41,1085.11,1162.05,258.23,Maio,2024
2024-06-01,294.26,294.26,0.0,123.58,170.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Junho,2024
2024-06-03,5918.13,5670.96,247.17,518.62,630.52,202.81,879.57,58.85,0.0,675.77,716.52,476.71,637.32,714.67,159.6,Junho,2024
2024-06-04,6962.87,6674.75,288.12,551.34,524.27,46.61,1483.61,0.0,12.71,778.35,770.55,790.84,733.21,804.36,178.9,Junho,2024
2024-06-05,6379.61,6173.63,205.98,216.71,394.85,419.95,955.55,0.0,0.0,637.7,597.37,864.41,824.75,1032.82,229.52,Junho,2024
2024-06-06,7378.650000000001,6760.72,617.93,294.43,691.85,140.06,1113.82,14.71,0.0,851.44,664.12,559.31,1278.69,942.78,209.51,Junho,2024
2024-06-07,6456.06,6250.08,205.98,209.09,484.81,278.6,912.29,58.85,0.0,812.08,737.33,626.55,1163.46,790.94,176.08,Junho,2024
2024-06-08,138.54,138.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.35,25.19,Junho,2024
2024-06-10,6000.12,5700.22,299.9,350.51,362.23,56.03,817.9,0.0,0.0,666.18,904.4,513.76,1008.98,834.73,185.5,Junho,2024
2024-06-11,5909.709999999999,5558.48,351.23,203.7,715.49,34.19,870.69,14.71,0.0,807.33,812.25,622.54,872.83,494.58,110.17,Junho,2024
2024-06-12,5248.969999999999,4918.28,330.69,188.98,542.15,168.41,960.14,0.0,0.0,596.33,657.41,477.47,681.1,490.46,155.83,Junho,2024
2024-06-13,6052.52,5868.61,183.91,276.23,518.68,102.05,1289.64,0.0,2.12,642.68,796.24,320.1,713.85,987.39,219.63,Junho,2024
2024-06-14,5179.27,4976.44,202.83,224.34,696.17,263.32,1045.94,0.0,16.95,433.4,739.74,580.47,410.33,462.91,102.87,Junho,2024
2024-06-15,275.13,216.28,58.85,0.0,69.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.7,26.6,Junho,2024
2024-06-17,6000.43,5834.81,165.62,424.2,566.83,159.48,841.44,0.0,0.0,650.4,609.52,547.64,1012.72,836.61,185.97,Junho,2024
2024-06-18,5513.76,5256.59,257.17,122.05,379.29,105.02,830.9,0.0,0.0,608.92,555.78,535.14,849.15,1038.94,231.4,Junho,2024
2024-06-19,5733.7300000000005,5515.6,218.13,181.56,571.25,146.18,820.6,100.05,15.42,540.48,798.08,328.8,847.12,953.96,212.1,Junho,2024
2024-06-20,5929.31,5764.46,164.85,228.06,533.3,126.78,913.0,0.0,6.18,521.47,611.76,548.15,768.96,1232.79,274.01,Junho,2024
2024-06-21,5239.139999999999,5128.91,110.23,174.51,528.44,134.47,860.95,45.61,0.0,584.79,664.7,500.12,675.95,784.94,174.43,Junho,2024
2024-06-22,324.15,324.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.15,0.0,Junho,2024
2024-06-24,6607.3,6452.67,154.63,235.89,444.48,128.76,1012.87,25.01,34.96,555.63,880.1,561.14,847.41,1412.4,314.02,Junho,2024
2024-06-25,5375.85,5199.64,176.21,223.69,530.07,84.63,867.57,0.0,0.0,584.26,653.56,524.22,818.87,746.81,165.96,Junho,2024
2024-06-26,5651.849999999999,5459.78,192.07,189.9,310.69,183.69,671.71,29.43,0.0,458.88,836.14,523.35,902.67,1107.09,246.23,Junho,2024
2024-06-27,6112.16,5893.41,218.75,243.05,555.24,65.21,726.15,403.12,0.0,793.42,872.1,530.0,789.06,747.28,168.78,Junho,2024
2024-06-28,6006.4,5825.73,180.67,240.05,741.16,227.29,794.65,50.02,1.79,636.52,904.35,593.6,909.97,594.27,132.06,Junho,2024
2024-06-29,296.31,296.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.31,0.0,0.0,0.0,Junho,2024
2024-07-01,5309.5,5057.49,252.01,103.4,178.88,124.94,490.1,41.2,33.9,602.57,1038.16,571.73,1005.04,579.44,288.13,Julho,2024
2024-07-02,5914.91,5687.04,227.87,234.48,519.42,188.26,590.91,5.89,22.25,714.44,760.7,582.85,774.67,981.97,311.2,Julho,2024
2024-07-03,5471.79,5266.91,204.88,212.68,487.02,204.44,776.08,0.0,3.88,724.15,776.94,521.46,753.54,640.76,165.96,Julho,2024
2024-07-05,4349.83,4276.24,73.59,145.01,879.66,118.64,884.69,5.89,34.96,717.73,244.52,119.86,176.26,776.47,172.55,Julho,2024
2024-07-08,5631.66,5599.29,32.37,270.0,460.01,141.95,734.68,29.43,41.78,775.29,1051.77,561.85,790.91,456.32,285.3,Julho,2024
2024-07-10,6035.21,6035.21,0.0,215.29,611.52,190.82,914.09,58.85,19.77,714.73,847.03,507.91,875.07,878.16,201.97,Julho,2024
2024-07-11,5482.84,5229.49,253.35,68.5,694.04,170.9,782.12,58.85,31.9,643.11,565.67,525.2,386.62,1060.12,242.46,Julho,2024
2024-07-12,5452.450000000001,5205.52,246.93,176.73,634.65,311.67,752.34,58.85,45.43,600.38,38.65,574.91,65.97,1592.13,353.81,Julho,2024
2024-07-15,6329.23,6127.37,201.86,210.86,611.88,180.82,887.58,0.0,78.62,510.92,778.75,671.77,871.57,1083.55,241.05,Julho,2024
2024-07-16,6457.900000000001,6271.77,186.13,369.7,565.98,42.73,736.1,223.63,10.95,736.51,989.92,594.89,849.79,796.59,354.98,Julho,2024
2024-07-17,5376.43,5167.05,209.38,210.41,562.88,172.3,562.43,10.3,21.48,422.95,428.25,692.85,578.76,1230.91,273.53,Julho,2024
2024-07-18,5804.33,5633.34,170.99,269.24,540.76,171.02,755.25,0.0,7.77,515.76,269.71,583.72,961.29,1275.4,283.42,Julho,2024
2024-07-19,6661.33,6480.07,181.26,210.45,703.55,247.89,683.25,29.43,8.36,429.02,668.59,457.16,1193.54,1512.68,336.15,Julho,2024
2024-07-22,5634.92,5189.83,445.09,136.24,739.96,299.63,676.48,29.43,0.0,405.89,727.74,313.84,1033.55,628.16,198.91,Julho,2024
2024-07-23,6862.85,6218.91,643.94,273.99,975.42,274.65,880.63,17.66,7.77,730.92,548.26,523.45,854.35,883.46,248.35,Julho,2024
2024-07-24,5951.06,5746.66,204.4,268.44,315.21,60.91,1171.2,29.43,57.44,633.05,785.68,506.94,848.94,874.98,194.44,Julho,2024
2024-07-25,5830.87,5562.93,267.94,218.99,0.0,0.0,1308.94,0.0,3.88,578.11,643.12,567.97,777.03,1190.65,274.24,Julho,2024
2024-07-26,5317.05,5162.2,154.85,163.86,400.59,272.4,795.92,0.0,2.59,380.17,913.12,508.63,752.6,795.53,176.79,Julho,2024
2024-07-29,6446.38,6152.42,293.96,224.28,852.97,214.68,794.86,35.31,3.88,645.3,756.42,544.97,712.08,887.69,479.98,Julho,2024
2024-07-30,6946.49,6691.61,254.88,235.54,830.07,267.56,872.92,0.0,1.06,605.13,656.88,518.79,799.86,1503.15,400.65,Julho,2024
2024-07-31,6348.9400000000005,6163.35,185.59,255.88,558.36,249.85,968.97,0.0,0.0,611.2,698.74,469.2,759.61,1300.59,290.95,Julho,2024
2024-08-01,5933.21,5761.18,172.03,281.01,539.14,249.11,1094.26,0.0,5.18,507.61,905.17,421.08,646.47,909.94,202.21,Agosto,2024
2024-08-02,5958.5,5745.59,212.91,431.31,910.74,124.2,578.35,0.0,5.89,640.88,828.14,438.31,550.04,1012.69,225.04,Agosto,2024
2024-08-03,297.78,297.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.64,54.14,Agosto,2024
2024-08-05,5221.110000000001,5040.01,181.1,285.19,368.04,214.04,985.09,0.0,78.98,460.5,624.93,454.95,678.83,727.74,161.72,Agosto,2024
2024-08-07,5021.68,4844.54,177.14,297.31,422.98,96.4,1008.72,64.74,0.0,550.01,545.36,480.67,663.68,584.73,129.94,Agosto,2024
2024-08-08,4953.4800000000005,4802.47,151.01,85.57,333.3,218.72,741.33,0.0,0.0,583.32,516.06,513.41,846.32,777.06,187.38,Agosto,2024
2024-08-09,4664.1900000000005,4641.89,22.3,132.71,575.66,208.67,880.57,17.66,0.0,386.96,644.03,421.27,739.95,519.06,115.35,Agosto,2024
2024-08-10,445.38,445.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.4,80.98,Agosto,2024
2024-08-12,5614.89,5569.05,45.84,238.87,669.67,135.33,992.8,0.0,17.66,672.54,656.38,416.3,771.29,816.72,181.49,Agosto,2024
2024-08-13,6438.39,6243.01,195.38,336.21,572.52,194.96,1016.75,158.9,0.0,650.35,844.54,385.5,905.11,963.96,214.21,Agosto,2024
2024-08-14,5757.26,5484.2,273.06,204.64,622.87,260.68,879.4,29.43,5.3,695.7,604.7,478.92,674.92,753.16,274.48,Agosto,2024
2024-08-15,5408.08,5234.18,173.9,220.37,637.12,175.08,949.96,0.0,0.0,540.79,682.58,468.96,645.85,683.25,230.22,Agosto,2024
2024-08-16,5592.75,5592.75,0.0,229.69,704.16,302.37,1013.34,0.0,21.89,454.44,562.61,0.0,214.6,1709.71,379.94,Agosto,2024
